"election_type","part_org","ads","total_spend_usd","total_impressions","mean_efficiency","median_efficiency"
"Internal elections","Partido Colorado",617,66741.5,88427191.5,1168.19408087891,656.555555555556
"Internal elections","Frente Amplio",274,81963,62654363,870.19565523093,454.535353535354
"Internal elections","Partido Nacional",1678,269761,203731161,681.390956814787,454.535353535354
"Internal elections","Otros",347,31376.5,17488826.5,531.053207494268,191.909090909091
"National elections","Frente Amplio",1836,260019.449828944,184601082,945.735952660304,656.223244147157
"National elections","Otros",884,69601.9013545253,55503558,788.185086987393,455.987562201392
"National elections","Partido Colorado",840,170235.672169064,80408080,764.301919202517,498.805936005735
"National elections","Partido Nacional",2461,285079.103630622,143924769.5,605.646938289008,396.068181818182
